"id";"photo";"height";"weight";"base_experience";"attack";"defense";"hp";"special_attack";"special_defense";"speed"
"prinplup";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/394.png";8;230;142;66;68;64;81;76;50
"empoleon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/395.png";17;845;239;86;88;84;111;101;60
"starly";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/396.png";3;20;49;55;30;40;30;30;60
"staravia";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/397.png";6;155;119;75;50;55;40;40;80
"staraptor";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/398.png";12;249;218;120;70;85;50;60;100
"bidoof";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/399.png";5;200;50;45;40;59;35;40;31
"bibarel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/400.png";10;315;144;85;60;79;55;60;71
"kricketot";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/401.png";3;22;39;25;41;37;25;41;25
"kricketune";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/402.png";10;255;134;85;51;77;55;51;65
"shinx";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/403.png";5;95;53;65;34;45;40;34;45
"luxio";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/404.png";9;305;127;85;49;60;60;49;60
"luxray";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/405.png";14;420;235;120;79;80;95;79;70
"budew";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/406.png";2;12;56;30;35;40;50;70;55
"roserade";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/407.png";9;145;232;70;65;60;125;105;90
"cranidos";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/408.png";9;315;70;125;40;67;30;30;58
"rampardos";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/409.png";16;1025;173;165;60;97;65;50;58
"shieldon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/410.png";5;570;70;42;118;30;42;88;30
"bastiodon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/411.png";13;1495;173;52;168;60;47;138;30
"burmy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/412.png";2;34;45;29;45;40;29;45;36
"wormadam-plant";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/413.png";5;65;148;59;85;60;79;105;36
"mothim";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/414.png";9;233;148;94;50;70;94;50;66
"combee";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/415.png";3;55;49;30;42;30;30;42;70
"vespiquen";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/416.png";12;385;166;80;102;70;80;102;40
"pachirisu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/417.png";4;39;142;45;70;60;45;90;95
"buizel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/418.png";7;295;66;65;35;55;60;30;85
"floatzel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/419.png";11;335;173;105;55;85;85;50;115
"cherubi";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/420.png";4;33;55;35;45;45;62;53;35
"cherrim";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/421.png";5;93;158;60;70;70;87;78;85
"shellos";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/422.png";3;63;65;48;48;76;57;62;34
"gastrodon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/423.png";9;299;166;83;68;111;92;82;39
"ambipom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/424.png";12;203;169;100;66;75;60;66;115
"drifloon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/425.png";4;12;70;50;34;90;60;44;70
"drifblim";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/426.png";12;150;174;80;44;150;90;54;80
"buneary";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/427.png";4;55;70;66;44;55;44;56;85
"lopunny";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/428.png";12;333;168;76;84;65;54;96;105
"mismagius";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/429.png";9;44;173;60;60;60;105;105;105
"honchkrow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/430.png";9;273;177;125;52;100;105;52;71
"glameow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/431.png";5;39;62;55;42;49;42;37;85
"purugly";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/432.png";10;438;158;82;64;71;64;59;112
"chingling";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/433.png";2;6;57;30;50;45;65;50;45
"stunky";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/434.png";4;192;66;63;47;63;41;41;74
"skuntank";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/435.png";10;380;168;93;67;103;71;61;84
"bronzor";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/436.png";5;605;60;24;86;57;24;86;23
"bronzong";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/437.png";13;1870;175;89;116;67;79;116;33
"bonsly";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/438.png";5;150;58;80;95;50;10;45;10
"mime-jr";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/439.png";6;130;62;25;45;20;70;90;60
"happiny";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/440.png";6;244;110;5;5;100;15;65;30
"chatot";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/441.png";5;19;144;65;45;76;92;42;91
"spiritomb";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/442.png";10;1080;170;92;108;50;92;108;35
"gible";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/443.png";7;205;60;70;45;58;40;45;42
"gabite";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/444.png";14;560;144;90;65;68;50;55;82
"garchomp";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/445.png";19;950;270;130;95;108;80;85;102
"munchlax";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/446.png";6;1050;78;85;40;135;40;85;5
"riolu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/447.png";7;202;57;70;40;40;35;40;60
"lucario";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/448.png";12;540;184;110;70;70;115;70;90
"hippopotas";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/449.png";8;495;66;72;78;68;38;42;32
"hippowdon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/450.png";20;3000;184;112;118;108;68;72;47
"skorupi";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/451.png";8;120;66;50;90;40;30;55;65
"drapion";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/452.png";13;615;175;90;110;70;60;75;95
"croagunk";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/453.png";7;230;60;61;40;48;61;40;50
"toxicroak";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/454.png";13;444;172;106;65;83;86;65;85
"carnivine";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/455.png";14;270;159;100;72;74;90;72;46
"finneon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/456.png";4;70;66;49;56;49;49;61;66
"lumineon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/457.png";12;240;161;69;76;69;69;86;91
"mantyke";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/458.png";10;650;69;20;50;45;60;120;50
"snover";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/459.png";10;505;67;62;50;60;62;60;40
"abomasnow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/460.png";22;1355;173;92;75;90;92;85;60
"weavile";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/461.png";11;340;179;120;65;70;45;85;125
"magnezone";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/462.png";12;1800;241;70;115;70;130;90;60
"lickilicky";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/463.png";17;1400;180;85;95;110;80;95;50
"rhyperior";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/464.png";24;2828;241;140;130;115;55;55;40
"tangrowth";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/465.png";20;1286;187;100;125;100;110;50;50
"electivire";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/466.png";18;1386;243;123;67;75;95;85;95
"magmortar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/467.png";16;680;243;95;67;75;125;95;83
"togekiss";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/468.png";15;380;245;50;95;85;120;115;80
"yanmega";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/469.png";19;515;180;76;86;86;116;56;95
"leafeon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/470.png";10;255;184;110;130;65;60;65;95
"glaceon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/471.png";8;259;184;60;110;65;130;95;65
"gliscor";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/472.png";20;425;179;95;125;75;45;75;95
"mamoswine";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/473.png";25;2910;239;130;80;110;70;60;80
"porygon-z";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/474.png";9;340;241;80;70;85;135;75;90
"gallade";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/475.png";16;520;233;125;65;68;65;115;80
"probopass";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/476.png";14;3400;184;55;145;60;75;150;40
"dusknoir";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/477.png";22;1066;236;100;135;45;65;135;45
"froslass";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/478.png";13;266;168;80;70;70;80;70;110
"rotom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/479.png";3;3;154;50;77;50;95;77;91
"uxie";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/480.png";3;3;261;75;130;75;75;130;95
"mesprit";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/481.png";3;3;261;105;105;80;105;105;80
"azelf";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/482.png";3;3;261;125;70;75;125;70;115
"dialga";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/483.png";54;6830;306;120;120;100;150;100;90
"palkia";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/484.png";42;3360;306;120;100;90;150;120;100
"heatran";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/485.png";17;4300;270;90;106;91;130;106;77
"regigigas";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/486.png";37;4200;302;160;110;110;80;110;100
"giratina-altered";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/487.png";45;7500;306;100;120;150;100;120;90
"cresselia";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/488.png";15;856;270;70;120;120;75;130;85
"phione";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/489.png";4;31;216;80;80;80;80;80;80
"manaphy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/490.png";3;14;270;100;100;100;100;100;100
"darkrai";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/491.png";15;505;270;90;90;70;135;90;125
"shaymin-land";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/492.png";2;21;270;100;100;100;100;100;100
"arceus";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/493.png";32;3200;324;120;120;120;120;120;120
"victini";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/494.png";4;40;270;100;100;100;100;100;100
"snivy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/495.png";6;81;62;45;55;45;45;55;63
"servine";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/496.png";8;160;145;60;75;60;60;75;83
"serperior";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/497.png";33;630;238;75;95;75;75;95;113
"tepig";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/498.png";5;99;62;63;45;65;45;45;45
"pignite";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/499.png";10;555;146;93;55;90;70;55;55
"emboar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/500.png";16;1500;238;123;65;110;100;65;65
"oshawott";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/501.png";5;59;62;55;45;55;63;45;45
"dewott";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/502.png";8;245;145;75;60;75;83;60;60
"samurott";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/503.png";15;946;238;100;85;95;108;70;70
"patrat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/504.png";5;116;51;55;39;45;35;39;42
"watchog";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/505.png";11;270;147;85;69;60;60;69;77
"lillipup";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/506.png";4;41;55;60;45;45;25;45;55
"herdier";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/507.png";9;147;130;80;65;65;35;65;60
"stoutland";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/508.png";12;610;225;110;90;85;45;90;80
"purrloin";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/509.png";4;101;56;50;37;41;50;37;66
"liepard";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/510.png";11;375;156;88;50;64;88;50;106
"pansage";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/511.png";6;105;63;53;48;50;53;48;64
"simisage";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/512.png";11;305;174;98;63;75;98;63;101
"pansear";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/513.png";6;110;63;53;48;50;53;48;64
"simisear";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/514.png";10;280;174;98;63;75;98;63;101
"panpour";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/515.png";6;135;63;53;48;50;53;48;64
"simipour";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/516.png";10;290;174;98;63;75;98;63;101
"munna";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/517.png";6;233;58;25;45;76;67;55;24
"musharna";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/518.png";11;605;170;55;85;116;107;95;29
"pidove";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/519.png";3;21;53;55;50;50;36;30;43
"tranquill";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/520.png";6;150;125;77;62;62;50;42;65
"unfezant";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/521.png";12;290;220;115;80;80;65;55;93
"blitzle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/522.png";8;298;59;60;32;45;50;32;76
"zebstrika";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/523.png";16;795;174;100;63;75;80;63;116
"roggenrola";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/524.png";4;180;56;75;85;55;25;25;15
"boldore";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/525.png";9;1020;137;105;105;70;50;40;20
"gigalith";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/526.png";17;2600;232;135;130;85;60;80;25
"woobat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/527.png";4;21;63;45;43;55;55;43;72
"swoobat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/528.png";9;105;149;57;55;67;77;55;114
"drilbur";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/529.png";3;85;66;85;40;60;30;45;68
"excadrill";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/530.png";7;404;178;135;60;110;50;65;88
"audino";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/531.png";11;310;390;60;86;103;60;86;50
"timburr";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/532.png";6;125;61;80;55;75;25;35;35
"gurdurr";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/533.png";12;400;142;105;85;85;40;50;40
"conkeldurr";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/534.png";14;870;227;140;95;105;55;65;45
"tympole";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/535.png";5;45;59;50;40;50;50;40;64
"palpitoad";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/536.png";8;170;134;65;55;75;65;55;69
"seismitoad";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/537.png";15;620;229;95;75;105;85;75;74
"throh";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/538.png";13;555;163;100;85;120;30;85;45
"sawk";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/539.png";14;510;163;125;75;75;30;75;85
"sewaddle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/540.png";3;25;62;53;70;45;40;60;42
"swadloon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/541.png";5;73;133;63;90;55;50;80;42
"leavanny";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/542.png";12;205;225;103;80;75;70;80;92
"venipede";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/543.png";4;53;52;45;59;30;30;39;57
"whirlipede";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/544.png";12;585;126;55;99;40;40;79;47
"scolipede";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/545.png";25;2005;218;100;89;60;55;69;112
"cottonee";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/546.png";3;6;56;27;60;40;37;50;66
"whimsicott";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/547.png";7;66;168;67;85;60;77;75;116
"petilil";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/548.png";5;66;56;35;50;45;70;50;30
"lilligant";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/549.png";11;163;168;60;75;70;110;75;90
"basculin-red-striped";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/550.png";10;180;161;92;65;70;80;55;98
"sandile";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/551.png";7;152;58;72;35;50;35;35;65
"krokorok";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/552.png";10;334;123;82;45;60;45;45;74
"krookodile";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/553.png";15;963;234;117;80;95;65;70;92
"darumaka";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/554.png";6;375;63;90;45;70;15;45;50
"darmanitan-standard";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/555.png";13;929;168;140;55;105;30;55;95
"maractus";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/556.png";10;280;161;86;67;75;106;67;60
"dwebble";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/557.png";3;145;65;65;85;50;35;35;55
"crustle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/558.png";14;2000;166;95;125;70;65;75;45
"scraggy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/559.png";6;118;70;75;70;50;35;70;48
"scrafty";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/560.png";11;300;171;90;115;65;45;115;58
"sigilyph";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/561.png";14;140;172;58;80;72;103;80;97
"yamask";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/562.png";5;15;61;30;85;38;55;65;30
"cofagrigus";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/563.png";17;765;169;50;145;58;95;105;30
"tirtouga";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/564.png";7;165;71;78;103;54;53;45;22
"carracosta";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/565.png";12;810;173;108;133;74;83;65;32
"archen";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/566.png";5;95;71;112;45;55;74;45;70
"archeops";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/567.png";14;320;177;140;65;75;112;65;110
"trubbish";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/568.png";6;310;66;50;62;50;40;62;65
"garbodor";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/569.png";19;1073;166;95;82;80;60;82;75
"zorua";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/570.png";7;125;66;65;40;40;80;40;65
"zoroark";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/571.png";16;811;179;105;60;60;120;60;105
"minccino";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/572.png";4;58;60;50;40;55;40;40;75
"cinccino";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/573.png";5;75;165;95;60;75;65;60;115
"gothita";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/574.png";4;58;58;30;50;45;55;65;45
"gothorita";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/575.png";7;180;137;45;70;60;75;85;55
"gothitelle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/576.png";15;440;221;55;95;70;95;110;65
"solosis";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/577.png";3;10;58;30;40;45;105;50;20
"duosion";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/578.png";6;80;130;40;50;65;125;60;30
"reuniclus";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/579.png";10;201;221;65;75;110;125;85;30
"ducklett";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/580.png";5;55;61;44;50;62;44;50;55
"swanna";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/581.png";13;242;166;87;63;75;87;63;98
"vanillite";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/582.png";4;57;61;50;50;36;65;60;44
"vanillish";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/583.png";11;410;138;65;65;51;80;75;59
"vanilluxe";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/584.png";13;575;241;95;85;71;110;95;79
"deerling";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/585.png";6;195;67;60;50;60;40;50;75
"sawsbuck";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/586.png";19;925;166;100;70;80;60;70;95
"emolga";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/587.png";4;50;150;75;60;55;75;60;103
"karrablast";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/588.png";5;59;63;75;45;50;40;45;60
"escavalier";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/589.png";10;330;173;135;105;70;60;105;20
